0177I Following is a set of records pertinent to the Presidential Primary held on Tuesday, April 24, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:13 PM
0064RPresident of The United States          U     1047030102801
0044CGINGRICH, NEWT           REP 001908 1B 
0044CPAUL, RON                REP 002171 1A 
0044CROMNEY, MITT             REP 013084 1C 
0044CSANTORUM, RICK           REP 000852 1D 
0068E2002P0326000020              251018  00-20000000003000100180000
0068E2003P0286000026              251018  00-10000000002000400200001
0068E2004P0244000014              251018  00000000000000000100130000
0068E2005P0138000011              251018  00-10000000002000200080000
0068E2006P0194000018              251018  00-30000000003000400110003
0068E2007P0117000008              251018  00000000000000000100050002
0068E2008P0317000021              25 918  00-10000000002000300160001
0068E2009P0139000009              251018  00-20000000003000000080000
0068E2010P0200000008              251018  00-20000000001000100070001
0068E2011P0117000011              251017  00-10000000001000000100001
0068E2012P0119000008              251017  00000000000000000000080000
0068E2013P0283000017              25 918  00000000000000000500120000
0068E2014P0320000026              25 916  00-30000000003000200230001
0068E2015P0167000011              25 918  00-30000000002000100110000
0068E2016P0355000025              25 918  00-20000000005000200170003
0068E2017P0331000016              25 913  00-20000000000000200140002
0068E2018P0228000015              22 913  00-10000000005000200070002
0068E2019P0274000026              22 918  00-20000000004000000220002
0068E2020P0316000016              25 918  00-10000000002000100130001
0068E2021P0231000008              22 916  00-10000000002000000070000
0068E2022P0348000019              251017  00-10000000002000600100002
0068E2023P0219000015              251017  00000000000001000300110000
0068E2024P0193000016              22 918  00010000000005000000100000
0068E2025P0191000014              251018  00-10000000004000100090001
0068E2026P0056000002              251018  00000000000000000000020000
0068E2027P0167000012              251017  00000000000000000200100000
0068E2028P0279000014              251016  0-160000000003000800170002
0068E2029P0257000010              251018  00-40000000002000300080001
0068E2030P0295000019              251018  00-10000000003000300130001
0068E2031P0321000024              251016  00010000000003000000190001
0068E2032P0261000024              25 918  00-20000000002000300200001
0068E2033P0265000023              251017  00000000000006000000160001
0068E2034P0123000005              251017  00000000000001000000040000
0068E2035P0236000023              22 918  00-10000000002000200190001
0068E2036P0301000022              251016  00-40000000001000400190002
0068E2037P0288000016              251018  00000000000000000000160000
0068E2038P0308000027              25 918  00-10000000005000400190000
0068E2039P0292000026              22 918  00-20000000001000700180002
0068E2040P0351000025              25 918  00-20000000001000300210002
0068E2041P0488000035              251016  0-150000000002000200450001
0068E2042P0264000026              251017  00000000000003000300200000
0068E2043P0291000037              25 918  00-10000000004000300300001
0068E2044P0245000011              25 916  00-40000000000000000110004
0068E2045P0377000019              251018  00-20000000001000300170000
0068E2046P0199000014              251018  00-10000000003000200090001
0068E2047P0171000013              25 918  00000000000003000000100000
0068E2048P0287000023              251017  00-20000000002000100220000
0068E2049P0224000014              251017  00-20000000001000200110002
0068E2050P0274000021              22 913  00-30000000002000300180001
0068E2051P0294000012              25 916  00-10000000001000200090001
0068E2052P0330000020              221016  00-50000000006000000180001
0068E2053P0210000011              251017  00-40000000001000100130000
0068E2054P0176000006              251017  00-40000000002000000080000
0068E2055P0440000033              25 918  00010000000002000200280000
0068E2056P0208000020              251017  00000000000002000200150001
0068E2057P0181000014              22 918  00-20000000002000100120001
0068E2058P0256000016              251017  00000000000001000300120000
0068E2059P0199000023              251017  00-20000000003000400180000
0068E2060P0523000023              22 913  00-40000000003000700150002
0068E2061P0179000016              251017  00-30000000001000100130004
0068E2062P0199000015              251017  00000000000001000300100001
0068E2063P0052000003              251018  00000000000000000000030000
0068E2064P0232000035              25 918  00000000000002000100320000
0068E2065P0219000023              25 918  00010000000004000000180000
0068E2066P0336000022              22 918  00-30000000003000200180002
0068E2067P0247000026              22 918  00000000000006000000190001
0068E2068P0350000027              25 918  00000000000001000000260000
0068E2069P0324000020              22 918  00-40000000004000300160001
0068E2070P0188000012              251017  00-20000000000000300090002
0068E2071P0218000005              251017  00-20000000002000000050000
0068E2072P0331000029              251017  00-20000000006000200210002
0068E2073P0181000016              251018  00-20000000001000100160000
0068E2074P0386000023              22 913  00-20000000000000400200001
0068E2075P0207000011              22 918  00-10000000000000200100000
0068E2076P0416000025              25 916  00-30000000003000300210001
0068E2077P0218000009              22 916  00-50000000004000000090001
0068E2078P0346000014              221016  00-30000000002000200130000
0068E2079P0157000015              251017  00-10000000002000200110001
0068E2080P0059000011              251018  00000000000002000400050000
0068E2081P0307000026              25 918  00-10000000001000300220001
0068E2082P0273000017              251016  00-10000000003000000140001
0068E2083P0244000030              251016  00-20000000003000300250001
0068E2084P0357000030              25 916  00-20000000004000700190002
0068E2085P0065000004              251017  00000000000000000200020000
0068E2086P0202000008              22 913  00000000000000000000080000
0068E2087P0191000006              22 918  00000000000000000000060000
0068E2088P0175000017              251017  00-10000000001000400130000
0068E2089P0122000013              251018  00000000000003000100090000
0068E2090P0203000014              22 918  00000000000000000200120000
0068E2091P0332000025              22 916  00-20000000000000400210002
0068E2092P0159000008              251017  00-20000000002000100060001
0068E2093P0193000022              25 918  00-20000000001000000220001
0068E2094P0232000013              251017  00-30000000001000100130001
0068E2095P0179000017              25 916  00-30000000005000000140001
0068E2096P0207000013              251017  00010000000003000100080000
0068E2097P0368000021              25 918  00-10000000002000300150002
0068E2098P0387000025              221016  00-20000000000000300230001
0068E2099P0226000013              25 918  00-30000000000000100140001
0068E2100P0398000018              22 916  00000000000002000100140001
0068E2101P0496000026              251017  00-40000000002000400230001
0068E2102P0408000032              251016  00-40000000007000400230002
0068E2103P0271000006              25 918  00-20000000002000100040001
0068E2104P0179000016              251018  00-20000000000000200160000
0068E2105P0121000008              221016  00000000000000000000080000
0068E2106P0174000008              25 918  00-30000000001000000100000
0068E2107P0312000017              251016  00-10000000002000000120004
0068E2108P0343000028              25 916  00-30000000001000100270002
0068E2109P0344000015              251017  00-30000000002000300120001
0068E2110P0298000009              251018  00-10000000000000100080001
0068E2111P0326000009              25 918  00-20000000002000200070000
0068E2112P0271000013              25 916  00-60000000001000100160001
0068E2113P0329000031              25 918  00-30000000001000200270004
0068E2114P0269000022              251016  00-20000000003000300170001
0068E2115P0110000006              22 918  00000000000000000400020000
0068E2116P0238000016              25 918  00000000000005000100080002
0068E2117P0191000012              22 918  00-10000000000000000130000
0068E2118P0439000015              22 916  00-10000000001000100140000
0068E2119P0457000025              251018  00-20000000003000800160000
0068E2120P0238000019              22 916  00-10000000001000000180001
0068E2121P0245000015              251017  00-30000000002000300120001
0068E2122P0280000031              22 918  00000000000007000100200003
0068E2123P0276000016              251017  00-20000000000000400130001
0068E2124P0337000016              25 918  00-10000000000000100160000
0068E2125P0381000013              221016  00010000000001000000110000
0068E2126P0254000023              25 918  00-30000000000000100240001
0068E2127P0312000013              25 913  00-10000000002000000120000
0068E2128P0333000019              251018  00-10000000002000200140002
0068E2129P0288000028              25 918  00-10000000005000000230001
0068E2130P0220000015              22 918  00000000000001000300090002
0068E2131P0243000018              25 916  00-20000000004000200140000
0068E2132P0284000013              251016  00-20000000004000000110000
0068E2133P0158000005              221016  00-10000000001000000050000
0068E2134P0314000024              221016  00-40000000004000200210001
0068E2135P0384000017              22 916  00-10000000002000100130002
0068E2136P0298000024              22 916  00-20000000004000100190002
0068E2137P0188000009              221016  00-10000000001000000080001
0068E2138P0256000013              221017  00000000000002000300080000
0068E2139P0211000007              22 916  00-20000000000000000090000
0068E2140P0362000020              25 918  00-30000000001000300160003
0068E2141P0137000008              25 916  00-10000000002000100050001
0068E2142P0194000015              22 913  00-20000000001000500110000
0068E2143P0216000008              251017  00-10000000003000000060000
0068E2144P0278000010              22 916  00-30000000005000000060002
0068E2145P0218000014              221017  00000000000002000100110000
0068E2146P0053000001              221016  00000000000000000000010000
0068E2147P0196000008              221016  00-50000000002000100100000
0068E2148P0185000006              22 916  00-10000000000000000070000
0068E2149P0215000013              25 918  00000000000002000000110000
0068E2150P0108000009              251018  00000000000001000100060001
0068E2151P0238000013              221017  00-50000000002000100150000
0068E2152P0341000014              25 916  00-80000000005000000150002
0068E2153P0228000031              25 918  00-10000000003000300250001
0068E2154P0157000017              251017  00-20000000000000400150000
0068E2155P0207000016              251017  00-10000000003000400090001
0068E2156P0135000008              25 918  00000000000002000100050000
0068E2157P0164000015              22 918  00-10000000003000000110002
0068E2158P0137000006              251017  00-20000000000000100050002
0068E2159P0217000025              25 916  00-20000000003000000240000
0068E2160P0167000007              251018  00000000000001000100050000
0068E2161P0161000013              25 918  00000000000003000200080000
0068E2162P0463000029              251017  00-40000000003000000290001
0068E2163P0209000007              25 916  00-10000000000000100070000
0068E2164P0187000031              25 918  00-40000000002000300290001
0068E2165P0239000021              22 916  00-10000000002000100180001
0068E2166P0183000007              221017  00000000000001000000060000
0068E2167P0208000005              22 916  00-20000000002000100030001
0068E2168P0260000021              251018  00-40000000002000300190001
0068E2169P0224000017              22 913  00-10000000002000400110001
0068E2170P0116000008              221016  00-10000000000000000090000
0068E2171P0102000006              251016  00-10000000002000000040001
0068E2172P0017000001              251016  00000000000001000000000000
0068E2173P0003000000              25 917  00000000000000000000000000
0068E2174P0005000000              25 917  00000000000000000000000000
0068E2175P0004000000              25 917  00000000000000000000000000
0068E2176P0009000000              22 917  00000000000000000000000000
0068E2177P0035000002              251017  00000000000001000000000001
0068E2178P0231000019              251017  00-10000000004000300130000
0068E3001P0337000020              34 811  00-10000000005000100140001
0068E3002P0219000017              24 811  00000000000001000300120001
0068E3003P0188000003              34 611  00-70000000001000500040000
0068E3004P0226000007              24 611  00-10000000002000100050000
0068E3005P0075000001              24 611  00000000000000000000010000
0068E3006P0008000000              24 610  00000000000000000000000000
0068E3007P0330000007              34 811  00-40000000001000300070000
0068E3008P0217000003              24 511  00-50000000002000000050001
0068E3009P0135000005              24 6 9  00000000000001000000040000
0068E3010P0478000018              33 810  00-40000000003000500130001
0068E3011P0318000019              34 610  00-30000000004000000180000
0068E3012P0591000027              24 810  00-70010000004000400240001
