Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Queensbury Ward 2  1,2,3,4 ",803,676,537,2016,47.42
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Queensbury Ward 3 1,2,3,4 ",598,603,480,1681,41.92
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Queensbury Ward 4 1,2,3 ",438,368,429,1235,39.95
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Glens Falls Ward 1 1 ",126,72,213,411,48.30
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Glens Falls Ward 2 1,2 ",303,229,446,978,52.95
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Glens Falls Ward 3 1,2 ",313,371,457,1141,59.83
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Glens Falls Ward 4 1 ",128,113,170,411,53.66
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Glens Falls Ward 5 1,2 ",177,109,314,600,46.05
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Bolton 1,2 ",148,98,265,511,37.44
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Chester 1,2 ",193,76,226,495,26.76
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Hague 1 ",60,14,116,190,41.58
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Johnsburg 1,2 ",144,53,241,438,37.89
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Lake George 1,2 ",255,220,329,804,39.16
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Lake Luzerne 1,2 ",130,123,266,519,30.49
Member of Assembly (114th District),Claudia K. Braymer,DEM,"Stony Creek 1 ",21,5,81,107,25.66
Member of Assembly (114th District),Matthew J. Simpson,REP,"Horicon 1,2 ",123,30,452,605,65.19
Member of Assembly (114th District),Matthew J. Simpson,REP,"Thurman 1 ",19,13,256,288,50.44
Member of Assembly (114th District),Matthew J. Simpson,REP,"Warrensburg 1,2,3 ",133,92,765,990,55.49
Member of Assembly (114th District),Matthew J. Simpson,REP,"Queensbury Ward 1 1,2,3,4,5 ",419,600,1369,2388,50.81
Member of Assembly (114th District),Matthew J. Simpson,REP,"Queensbury Ward 2  1,2,3,4 ",341,420,1016,1777,41.80
Member of Assembly (114th District),Matthew J. Simpson,REP,"Queensbury Ward 3 1,2,3,4 ",297,455,1125,1877,46.81
Member of Assembly (114th District),Matthew J. Simpson,REP,"Queensbury Ward 4 1,2,3 ",208,286,1040,1534,49.63
Member of Assembly (114th District),Matthew J. Simpson,REP,"Glens Falls Ward 1 1 ",48,31,240,319,37.49
Member of Assembly (114th District),Matthew J. Simpson,REP,"Glens Falls Ward 2 1,2 ",77,81,478,636,34.43
Member of Assembly (114th District),Matthew J. Simpson,REP,"Glens Falls Ward 3 1,2 ",84,102,371,557,29.21
Member of Assembly (114th District),Matthew J. Simpson,REP,"Glens Falls Ward 4 1 ",42,28,187,257,33.55
Member of Assembly (114th District),Matthew J. Simpson,REP,"Glens Falls Ward 5 1,2 ",55,57,418,530,40.68
Member of Assembly (114th District),Matthew J. Simpson,REP,"Bolton 1,2 ",114,38,559,711,52.09
Member of Assembly (114th District),Matthew J. Simpson,REP,"Chester 1,2 ",175,63,904,1142,61.73
Member of Assembly (114th District),Matthew J. Simpson,REP,"Hague 1 ",31,13,189,233,50.98
Member of Assembly (114th District),Matthew J. Simpson,REP,"Johnsburg 1,2 ",96,14,487,597,51.64
Member of Assembly (114th District),Matthew J. Simpson,REP,"Lake George 1,2 ",145,137,735,1017,49.54
Member of Assembly (114th District),Matthew J. Simpson,REP,"Lake Luzerne 1,2 ",126,71,808,1005,59.05
Member of Assembly (114th District),Matthew J. Simpson,REP,"Stony Creek 1 ",31,2,228,261,62.59
Member of Assembly (114th District),Matthew J. Simpson,CON,"Horicon 1,2 ",12,6,42,60,6.47
Member of Assembly (114th District),Matthew J. Simpson,CON,"Thurman 1 ",2,0,32,34,5.95
Member of Assembly (114th District),Matthew J. Simpson,CON,"Warrensburg 1,2,3 ",12,8,54,74,4.15
Member of Assembly (114th District),Matthew J. Simpson,CON,"Queensbury Ward 1 1,2,3,4,5 ",41,67,133,241,5.13
Member of Assembly (114th District),Matthew J. Simpson,CON,"Queensbury Ward 2  1,2,3,4 ",23,37,98,158,3.72
Member of Assembly (114th District),Matthew J. Simpson,CON,"Queensbury Ward 3 1,2,3,4 ",44,52,120,216,5.39
Member of Assembly (114th District),Matthew J. Simpson,CON,"Queensbury Ward 4 1,2,3 ",19,25,106,150,4.85
Member of Assembly (114th District),Matthew J. Simpson,CON,"Glens Falls Ward 1 1 ",5,2,29,36,4.23
Member of Assembly (114th District),Matthew J. Simpson,CON,"Glens Falls Ward 2 1,2 ",6,11,43,60,3.25
Member of Assembly (114th District),Matthew J. Simpson,CON,"Glens Falls Ward 3 1,2 ",13,10,39,62,3.25
Member of Assembly (114th District),Matthew J. Simpson,CON,"Glens Falls Ward 4 1 ",4,0,18,22,2.87
Member of Assembly (114th District),Matthew J. Simpson,CON,"Glens Falls Ward 5 1,2 ",6,8,41,55,4.22
Member of Assembly (114th District),Matthew J. Simpson,CON,"Bolton 1,2 ",13,3,53,69,5.05
Member of Assembly (114th District),Matthew J. Simpson,CON,"Chester 1,2 ",21,6,84,111,6.00
Member of Assembly (114th District),Matthew J. Simpson,CON,"Hague 1 ",4,0,9,13,2.84
Member of Assembly (114th District),Matthew J. Simpson,CON,"Johnsburg 1,2 ",9,2,29,40,3.46
Member of Assembly (114th District),Matthew J. Simpson,CON,"Lake George 1,2 ",15,15,69,99,4.82
Member of Assembly (114th District),Matthew J. Simpson,CON,"Lake Luzerne 1,2 ",11,12,82,105,6.17
Member of Assembly (114th District),Matthew J. Simpson,CON,"Stony Creek 1 ",4,0,22,26,6.24
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Horicon 1,2 ",4,0,18,22,2.37
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Thurman 1 ",1,1,7,9,1.58
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Warrensburg 1,2,3 ",12,13,36,61,3.42
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Queensbury Ward 1 1,2,3,4,5 ",43,45,58,146,3.11
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Queensbury Ward 2  1,2,3,4 ",55,74,95,224,5.27
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Queensbury Ward 3 1,2,3,4 ",43,44,50,137,3.42
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Queensbury Ward 4 1,2,3 ",19,31,59,109,3.53
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Glens Falls Ward 1 1 ",11,6,38,55,6.46
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Glens Falls Ward 2 1,2 ",33,33,56,122,6.61
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Glens Falls Ward 3 1,2 ",25,36,54,115,6.03
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Glens Falls Ward 4 1 ",7,9,37,53,6.92
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Glens Falls Ward 5 1,2 ",16,28,39,83,6.37
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Bolton 1,2 ",8,10,21,39,2.86
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Chester 1,2 ",14,11,31,56,3.03
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Hague 1 ",4,1,5,10,2.19
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Johnsburg 1,2 ",14,5,34,53,4.58
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Lake George 1,2 ",15,18,42,75,3.65
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Lake Luzerne 1,2 ",17,8,21,46,2.70
Member of Assembly (114th District),Claudia K. Braymer,WOR,"Stony Creek 1 ",0,0,9,9,2.16
Member of Assembly (114th District),Matthew J. Simpson,IND,"Horicon 1,2 ",6,4,15,25,2.69
Member of Assembly (114th District),Matthew J. Simpson,IND,"Thurman 1 ",3,0,6,9,1.58
Member of Assembly (114th District),Matthew J. Simpson,IND,"Warrensburg 1,2,3 ",4,2,10,16,0.90
Member of Assembly (114th District),Matthew J. Simpson,IND,"Queensbury Ward 1 1,2,3,4,5 ",23,12,33,68,1.45
Member of Assembly (114th District),Matthew J. Simpson,IND,"Queensbury Ward 2  1,2,3,4 ",20,12,20,52,1.22
Member of Assembly (114th District),Matthew J. Simpson,IND,"Queensbury Ward 3 1,2,3,4 ",16,17,37,70,1.75
Member of Assembly (114th District),Matthew J. Simpson,IND,"Queensbury Ward 4 1,2,3 ",13,5,27,45,1.46
Member of Assembly (114th District),Matthew J. Simpson,IND,"Glens Falls Ward 1 1 ",2,1,14,17,2.00
Member of Assembly (114th District),Matthew J. Simpson,IND,"Glens Falls Ward 2 1,2 ",6,3,22,31,1.68
Member of Assembly (114th District),Matthew J. Simpson,IND,"Glens Falls Ward 3 1,2 ",2,4,10,16,0.84
Member of Assembly (114th District),Matthew J. Simpson,IND,"Glens Falls Ward 4 1 ",4,2,8,14,1.83
Member of Assembly (114th District),Matthew J. Simpson,IND,"Glens Falls Ward 5 1,2 ",4,3,14,21,1.61
Member of Assembly (114th District),Matthew J. Simpson,IND,"Bolton 1,2 ",3,1,12,16,1.17
Member of Assembly (114th District),Matthew J. Simpson,IND,"Chester 1,2 ",5,2,25,32,1.73
Member of Assembly (114th District),Matthew J. Simpson,IND,"Hague 1 ",0,0,9,9,1.97
Member of Assembly (114th District),Matthew J. Simpson,IND,"Johnsburg 1,2 ",2,1,15,18,1.56
Member of Assembly (114th District),Matthew J. Simpson,IND,"Lake George 1,2 ",0,3,16,19,0.93
Member of Assembly (114th District),Matthew J. Simpson,IND,"Lake Luzerne 1,2 ",4,1,10,15,0.88
Member of Assembly (114th District),Matthew J. Simpson,IND,"Stony Creek 1 ",0,0,2,2,0.48
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Horicon 1,2 ",1,0,3,4,0.43
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Thurman 1 ",7,5,95,107,18.74
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Warrensburg 1,2,3 ",24,7,50,81,4.54
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Queensbury Ward 1 1,2,3,4,5 ",5,5,11,21,0.45
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Queensbury Ward 2  1,2,3,4 ",8,8,7,23,0.54
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Queensbury Ward 3 1,2,3,4 ",4,11,13,28,0.70
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Queensbury Ward 4 1,2,3 ",4,3,9,16,0.52
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Glens Falls Ward 1 1 ",2,1,8,11,1.29
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Glens Falls Ward 2 1,2 ",9,3,7,19,1.03
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Glens Falls Ward 3 1,2 ",4,7,5,16,0.84
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Glens Falls Ward 4 1 ",1,1,7,9,1.17
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Glens Falls Ward 5 1,2 ",4,2,8,14,1.07
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Bolton 1,2 ",6,0,13,19,1.39
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Chester 1,2 ",3,1,10,14,0.76
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Hague 1 ",0,0,2,2,0.44
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Johnsburg 1,2 ",0,0,9,9,0.78
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Lake George 1,2 ",10,4,23,37,1.80
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Lake Luzerne 1,2 ",4,1,7,12,0.71
Member of Assembly (114th District),Evelyn M. Wood,SAM,"Stony Creek 1 ",1,0,11,12,2.88
Member of Assembly (114th District),Write-in,,"Horicon 1,2 ",1,0,0,1,0.11
Member of Assembly (114th District),Write-in,,"Thurman 1 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Warrensburg 1,2,3 ",0,0,1,1,0.06
Member of Assembly (114th District),Write-in,,"Queensbury Ward 1 1,2,3,4,5 ",1,0,3,4,0.09
Member of Assembly (114th District),Write-in,,"Queensbury Ward 2  1,2,3,4 ",1,0,0,1,0.02
Member of Assembly (114th District),Write-in,,"Queensbury Ward 3 1,2,3,4 ",0,0,1,1,0.02
Member of Assembly (114th District),Write-in,,"Queensbury Ward 4 1,2,3 ",0,0,2,2,0.06
Member of Assembly (114th District),Write-in,,"Glens Falls Ward 1 1 ",2,0,0,2,0.24
Member of Assembly (114th District),Write-in,,"Glens Falls Ward 2 1,2 ",0,0,1,1,0.05
Member of Assembly (114th District),Write-in,,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Glens Falls Ward 5 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Bolton 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Chester 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Hague 1 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Johnsburg 1,2 ",0,0,1,1,0.09
Member of Assembly (114th District),Write-in,,"Lake George 1,2 ",2,0,0,2,0.10
Member of Assembly (114th District),Write-in,,"Lake Luzerne 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),Write-in,,"Stony Creek 1 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Horicon 1,2 ",1,0,0,1,0.11
Member of Assembly (114th District),OVER VOTES,STATS,"Thurman 1 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Warrensburg 1,2,3 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",0,1,0,1,0.02
Member of Assembly (114th District),OVER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",2,0,0,2,0.05
Member of Assembly (114th District),OVER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",3,0,0,3,0.07
Member of Assembly (114th District),OVER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",3,0,0,3,0.10
Member of Assembly (114th District),OVER VOTES,STATS,"Glens Falls Ward 1 1 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Glens Falls Ward 2 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Glens Falls Ward 3 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Glens Falls Ward 4 1 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Glens Falls Ward 5 1,2 ",3,0,0,3,0.23
Member of Assembly (114th District),OVER VOTES,STATS,"Bolton 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Chester 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Hague 1 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Johnsburg 1,2 ",1,0,0,1,0.09
Member of Assembly (114th District),OVER VOTES,STATS,"Lake George 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Lake Luzerne 1,2 ",0,0,0,0,0.00
Member of Assembly (114th District),OVER VOTES,STATS,"Stony Creek 1 ",1,0,0,1,0.24
Member of Assembly (114th District),UNDER VOTES,STATS,"Horicon 1,2 ",6,1,20,27,2.91
Member of Assembly (114th District),UNDER VOTES,STATS,"Thurman 1 ",6,1,36,43,7.53
Member of Assembly (114th District),UNDER VOTES,STATS,"Warrensburg 1,2,3 ",13,9,70,92,5.16
Member of Assembly (114th District),UNDER VOTES,STATS,"Queensbury Ward 1 1,2,3,4,5 ",50,39,67,156,3.32
Member of Assembly (114th District),UNDER VOTES,STATS,"Queensbury Ward 2  1,2,3,4 ",58,29,69,156,3.67
Member of Assembly (114th District),UNDER VOTES,STATS,"Queensbury Ward 3 1,2,3,4 ",45,26,67,138,3.44
Member of Assembly (114th District),UNDER VOTES,STATS,"Queensbury Ward 4 1,2,3 ",30,17,59,106,3.43
Member of Assembly (114th District),UNDER VOTES,STATS,"Glens Falls Ward 1 1 ",16,3,15,34,4.00
Member of Assembly (114th District),UNDER VOTES,STATS,"Glens Falls Ward 2 1,2 ",10,12,34,56,3.03
Member of Assembly (114th District),UNDER VOTES,STATS,"Glens Falls Ward 3 1,2 ",13,5,31,49,2.57
Member of Assembly (114th District),UNDER VOTES,STATS,"Glens Falls Ward 4 1 ",6,1,20,27,3.52
Member of Assembly (114th District),UNDER VOTES,STATS,"Glens Falls Ward 5 1,2 ",6,6,35,47,3.61
Member of Assembly (114th District),UNDER VOTES,STATS,"Bolton 1,2 ",12,4,33,49,3.59
Member of Assembly (114th District),UNDER VOTES,STATS,"Chester 1,2 ",2,2,31,35,1.89
Member of Assembly (114th District),UNDER VOTES,STATS,"Hague 1 ",6,0,13,19,4.16
Member of Assembly (114th District),UNDER VOTES,STATS,"Johnsburg 1,2 ",17,1,33,51,4.41
Member of Assembly (114th District),UNDER VOTES,STATS,"Lake George 1,2 ",15,5,47,67,3.26
Member of Assembly (114th District),UNDER VOTES,STATS,"Lake Luzerne 1,2 ",14,5,56,75,4.41
Member of Assembly (114th District),UNDER VOTES,STATS,"Stony Creek 1 ",9,0,17,26,6.24
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Horicon 1,2 ",81,40,151,272,29.69
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Thurman 1 ",37,19,95,151,26.68
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Warrensburg 1,2,3 ",178,110,289,577,32.18
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Queensbury Ward 1 1,2,3,4,5 ",569,628,423,1620,34.38
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Queensbury Ward 2  1,2,3,4 ",748,625,488,1861,43.56
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Queensbury Ward 3 1,2,3,4 ",550,525,433,1508,37.35
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Queensbury Ward 4 1,2,3 ",405,338,422,1165,37.52
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Glens Falls Ward 1 1 ",117,70,202,389,45.93
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Glens Falls Ward 2 1,2 ",294,224,421,939,50.65
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Glens Falls Ward 3 1,2 ",297,344,429,1070,56.02
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Glens Falls Ward 4 1 ",125,107,149,381,49.48
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Glens Falls Ward 5 1,2 ",163,98,302,563,42.85
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Bolton 1,2 ",137,93,269,499,36.50
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Chester 1,2 ",193,82,262,537,29.12
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Hague 1 ",56,14,125,195,43.82
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Johnsburg 1,2 ",139,54,253,446,38.35
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Lake George 1,2 ",249,220,340,809,39.31
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Lake Luzerne 1,2 ",131,115,267,513,29.79
County Judge and Surrogate,Nikki J. Moreschi,DEM,"Stony Creek 1 ",22,5,82,109,25.89
County Judge and Surrogate,Robert A. Smith,REP,"Horicon 1,2 ",103,26,413,542,59.17
County Judge and Surrogate,Robert A. Smith,REP,"Thurman 1 ",24,14,294,332,58.66
County Judge and Surrogate,Robert A. Smith,REP,"Warrensburg 1,2,3 ",141,95,798,1034,57.67
County Judge and Surrogate,Robert A. Smith,REP,"Queensbury Ward 1 1,2,3,4,5 ",462,656,1418,2536,53.82
County Judge and Surrogate,Robert A. Smith,REP,"Queensbury Ward 2  1,2,3,4 ",392,463,1046,1901,44.50
County Judge and Surrogate,Robert A. Smith,REP,"Queensbury Ward 3 1,2,3,4 ",336,528,1149,2013,49.86
County Judge and Surrogate,Robert A. Smith,REP,"Queensbury Ward 4 1,2,3 ",237,303,1023,1563,50.34
County Judge and Surrogate,Robert A. Smith,REP,"Glens Falls Ward 1 1 ",56,30,255,341,40.26
County Judge and Surrogate,Robert A. Smith,REP,"Glens Falls Ward 2 1,2 ",87,78,487,652,35.17
County Judge and Surrogate,Robert A. Smith,REP,"Glens Falls Ward 3 1,2 ",102,115,392,609,31.88
County Judge and Surrogate,Robert A. Smith,REP,"Glens Falls Ward 4 1 ",47,32,197,276,35.84
County Judge and Surrogate,Robert A. Smith,REP,"Glens Falls Ward 5 1,2 ",64,67,427,558,42.47
County Judge and Surrogate,Robert A. Smith,REP,"Bolton 1,2 ",121,40,559,720,52.67
County Judge and Surrogate,Robert A. Smith,REP,"Chester 1,2 ",170,62,857,1089,59.06
County Judge and Surrogate,Robert A. Smith,REP,"Hague 1 ",33,13,170,216,48.54
County Judge and Surrogate,Robert A. Smith,REP,"Johnsburg 1,2 ",105,14,481,600,51.59
County Judge and Surrogate,Robert A. Smith,REP,"Lake George 1,2 ",154,136,735,1025,49.81
County Judge and Surrogate,Robert A. Smith,REP,"Lake Luzerne 1,2 ",129,75,799,1003,58.25
County Judge and Surrogate,Robert A. Smith,REP,"Stony Creek 1 ",32,2,238,272,64.61
County Judge and Surrogate,Robert A. Smith,CON,"Horicon 1,2 ",14,4,34,52,5.68
County Judge and Surrogate,Robert A. Smith,CON,"Thurman 1 ",2,0,41,43,7.60
County Judge and Surrogate,Robert A. Smith,CON,"Warrensburg 1,2,3 ",9,5,52,66,3.68
County Judge and Surrogate,Robert A. Smith,CON,"Queensbury Ward 1 1,2,3,4,5 ",47,74,131,252,5.35
County Judge and Surrogate,Robert A. Smith,CON,"Queensbury Ward 2  1,2,3,4 ",33,42,105,180,4.21
County Judge and Surrogate,Robert A. Smith,CON,"Queensbury Ward 3 1,2,3,4 ",42,53,112,207,5.13
County Judge and Surrogate,Robert A. Smith,CON,"Queensbury Ward 4 1,2,3 ",13,32,105,150,4.83
County Judge and Surrogate,Robert A. Smith,CON,"Glens Falls Ward 1 1 ",4,2,30,36,4.25
County Judge and Surrogate,Robert A. Smith,CON,"Glens Falls Ward 2 1,2 ",6,9,43,58,3.13
County Judge and Surrogate,Robert A. Smith,CON,"Glens Falls Ward 3 1,2 ",12,14,48,74,3.87
County Judge and Surrogate,Robert A. Smith,CON,"Glens Falls Ward 4 1 ",5,1,19,25,3.25
County Judge and Surrogate,Robert A. Smith,CON,"Glens Falls Ward 5 1,2 ",6,9,48,63,4.79
County Judge and Surrogate,Robert A. Smith,CON,"Bolton 1,2 ",13,3,52,68,4.97
County Judge and Surrogate,Robert A. Smith,CON,"Chester 1,2 ",22,6,75,103,5.59
County Judge and Surrogate,Robert A. Smith,CON,"Hague 1 ",4,0,9,13,2.92
County Judge and Surrogate,Robert A. Smith,CON,"Johnsburg 1,2 ",7,3,29,39,3.35
County Judge and Surrogate,Robert A. Smith,CON,"Lake George 1,2 ",18,16,66,100,4.86
County Judge and Surrogate,Robert A. Smith,CON,"Lake Luzerne 1,2 ",12,14,83,109,6.33
County Judge and Surrogate,Robert A. Smith,CON,"Stony Creek 1 ",4,0,21,25,5.94
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Horicon 1,2 ",2,1,24,27,2.95
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Thurman 1 ",2,1,14,17,3.00
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Warrensburg 1,2,3 ",16,8,40,64,3.57
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Queensbury Ward 1 1,2,3,4,5 ",33,43,46,122,2.59
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Queensbury Ward 2  1,2,3,4 ",42,55,84,181,4.24
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Queensbury Ward 3 1,2,3,4 ",37,41,66,144,3.57
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Queensbury Ward 4 1,2,3 ",20,28,60,108,3.48
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Glens Falls Ward 1 1 ",12,4,26,42,4.96
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Glens Falls Ward 2 1,2 ",30,33,51,114,6.15
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Glens Falls Ward 3 1,2 ",21,32,42,95,4.97
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Glens Falls Ward 4 1 ",4,7,33,44,5.71
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Glens Falls Ward 5 1,2 ",13,22,35,70,5.33
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Bolton 1,2 ",8,7,16,31,2.27
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Chester 1,2 ",11,8,43,62,3.36
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Hague 1 ",3,1,6,10,2.25
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Johnsburg 1,2 ",11,4,28,43,3.70
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Lake George 1,2 ",15,9,35,59,2.87
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Lake Luzerne 1,2 ",12,8,33,53,3.08
County Judge and Surrogate,Nikki J. Moreschi,WOR,"Stony Creek 1 ",0,0,9,9,2.14
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Horicon 1,2 ",1,0,5,6,0.66
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Thurman 1 ",1,0,4,5,0.88
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Warrensburg 1,2,3 ",2,0,7,9,0.50
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Queensbury Ward 1 1,2,3,4,5 ",8,9,13,30,0.64
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Queensbury Ward 2  1,2,3,4 ",5,9,10,24,0.56
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Queensbury Ward 3 1,2,3,4 ",5,9,10,24,0.59
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Queensbury Ward 4 1,2,3 ",5,4,12,21,0.68
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Glens Falls Ward 1 1 ",2,2,4,8,0.94
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Glens Falls Ward 2 1,2 ",10,3,14,27,1.46
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Glens Falls Ward 3 1,2 ",1,4,13,18,0.94
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Glens Falls Ward 4 1 ",1,1,15,17,2.21
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Glens Falls Ward 5 1,2 ",3,4,7,14,1.07
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Bolton 1,2 ",6,4,3,13,0.95
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Chester 1,2 ",2,2,3,7,0.38
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Hague 1 ",0,0,1,1,0.22
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Johnsburg 1,2 ",2,0,3,5,0.43
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Lake George 1,2 ",3,3,9,15,0.73
County Judge and Surrogate,Nikki J. Moreschi,GRE,"Lake Luzerne 1,2 ",2,1,9,12,0.70
